,lat,long,mac
0,32.108659,34.80495,44:85:00:C5:6A:FC
1,32.108696,34.805056,44:85:00:C5:69:DA
2,32.108777,34.804981,44:85:00:C5:6B:74
3,32.108837,34.805072,44:85:00:C5:6B:83
4,32.108765,34.805101,E4:B3:18:C3:63:15
5,32.10891,34.805147,E4:B3:18:9F:BF:A5
6,32.108857,34.80526,E4:B3:18:9F:C1:8A
7,32.10891,34.80508,E4:B3:18:9F:BF:91
8,32.108702,34.805502,44:85:00:C5:6B:6F
9,32.108649,34.805462,E4:B3:18:9F:C1:53
10,32.1088,34.805561,44:85:00:C5:6B:7E
11,32.108777,34.805213,44:85:00:C5:6A:E8
12,32.108767,34.805358,E4:B3:18:9F:C0:D6
13,32.108918,34.805328,44:85:00:C5:6A:DE
14,32.108816,34.805434,44:85:00:C5:6B:10
15,32.108794,34.805155,E4:B3:18:9F:BF:F5
